caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-25 18:03:54,151,0,2018-10-25 17:34:39
Case2,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-25 19:15:21,151,2,2018-10-25 18:46:02
Case2,Request For Payment REJECTED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-25 20:28:32,151,0,2018-10-25 19:44:09
Case3,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-25 20:44:01,152,2,2018-10-25 20:14:41
Case3,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-25 21:48:04,152,0,2018-10-25 21:03:38
Case4,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 03:13:07,153,2,2018-10-26 02:43:47
Case4,Request For Payment REJECTED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 03:58:22,153,0,2018-10-26 03:13:25
Case5,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 05:16:20,154,0,2018-10-26 04:46:44
Case6,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 10:17:49,154,2,2018-10-26 09:48:22
Case7,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 11:01:00,155,2,2018-10-26 10:31:27
Case6,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 11:03:04,154,1,2018-10-26 10:18:07
Case7,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 11:46:10,155,0,2018-10-26 11:01:18
Case8,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 11:49:42,156,2,2018-10-26 11:20:09
Case8,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 12:34:55,156,1,2018-10-26 11:50:00
Case9,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 12:36:25,157,0,2018-10-26 12:06:51
Case10,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 13:57:57,157,2,2018-10-26 13:28:28
Case10,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 14:42:54,157,0,2018-10-26 13:58:02
Case11,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 15:39:26,158,0,2018-10-26 15:09:52
Case12,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 17:20:42,158,2,2018-10-26 16:51:11
Case12,Request For Payment REJECTED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-26 18:09:05,158,0,2018-10-26 17:24:17
Case13,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 01:51:43,159,0,2018-10-27 01:22:15
Case14,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 08:31:08,159,0,2018-10-27 08:01:39
Case15,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 09:54:28,159,2,2018-10-27 09:25:23
Case16,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 10:32:55,160,0,2018-10-27 10:03:26
Case15,Request For Payment REJECTED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 10:39:07,159,0,2018-10-27 09:54:46
Case17,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 11:31:38,160,0,2018-10-27 11:02:10
Case18,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 12:42:53,160,2,2018-10-27 12:13:45
Case18,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 13:27:10,160,1,2018-10-27 12:43:11
Case19,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 14:03:47,161,0,2018-10-27 13:34:19
Case20,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 16:16:21,161,2,2018-10-27 15:47:10
Case20,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 17:00:41,161,1,2018-10-27 16:16:39
Case21,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 17:10:57,162,2,2018-10-27 16:41:38
Case21,Request For Payment REJECTED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 17:55:33,162,0,2018-10-27 17:11:15
Case22,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 20:04:39,163,2,2018-10-27 19:35:26
Case22,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-27 20:49:20,163,0,2018-10-27 20:04:57
Case23,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 02:43:10,164,2,2018-10-28 02:13:39
Case2,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 02:51:52,163,0,2018-10-28 02:07:37
Case23,Request For Payment REJECTED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 03:27:55,164,0,2018-10-28 02:43:28
Case24,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 05:37:59,165,0,2018-10-28 05:08:27
Case25,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 07:51:46,165,2,2018-10-28 07:22:21
Case25,Request For Payment REJECTED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 08:36:43,165,0,2018-10-28 07:52:04
Case26,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 09:23:31,166,0,2018-10-28 08:54:00
Case3,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 09:58:18,166,0,2018-10-28 09:14:04
Case27,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 13:38:13,166,0,2018-10-28 13:08:44
Case28,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 15:15:22,166,2,2018-10-28 14:45:52
Case28,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 16:00:16,166,0,2018-10-28 15:15:40
Case29,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 17:32:33,167,0,2018-10-28 17:03:05
Case30,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-28 19:53:31,167,0,2018-10-28 19:24:04
Case31,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 00:15:30,167,3,2018-10-28 23:45:56
Case2,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 00:19:34,166,2,2018-10-28 23:39:48
Case31,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 00:59:55,167,0,2018-10-29 00:15:48
Case2,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 01:02:44,167,1,2018-10-29 00:19:52
Case32,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 04:33:00,168,0,2018-10-29 04:03:44
Case4,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 05:41:51,167,0,2018-10-29 04:56:40
Case33,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 08:28:52,168,0,2018-10-29 07:59:36
Case23,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 09:12:52,168,0,2018-10-29 08:28:27
Case34,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 09:26:17,168,0,2018-10-29 08:56:59
Case2,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 10:04:10,168,0,2018-10-29 09:21:30
Case35,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 10:23:16,168,0,2018-10-29 09:53:58
Case6,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 10:41:43,168,1,2018-10-29 09:56:13
Case36,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 11:38:53,167,2,2018-10-29 11:09:57
Case36,Request For Payment APPROVED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 12:23:26,167,0,2018-10-29 11:39:11
Case37,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 12:23:54,168,0,2018-10-29 11:54:37
Case7,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 13:23:56,167,0,2018-10-29 12:39:10
Case3,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 13:49:00,167,2,2018-10-29 13:09:01
Case25,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 14:03:32,167,1,2018-10-29 13:19:01
Case38,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 14:10:02,167,0,2018-10-29 13:40:46
