caseid,task,user,end_timestamp,start_timestamp
request for payment 176985,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-25 17:47:02+00:00,2018-10-25 16:50:02+00:00
request for payment 176985,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-25 17:20:38+00:00,2018-10-25 16:50:38+00:00
request for payment 172318,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-25 20:32:57+00:00,2018-10-25 19:37:57+00:00
request for payment 172318,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-25 20:26:16+00:00,2018-10-25 19:47:16+00:00
request for payment 176991,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-25 21:49:49+00:00,2018-10-25 20:59:49+00:00
request for payment 176991,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-25 21:58:31+00:00,2018-10-25 21:00:31+00:00
request for payment 179592,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 08:04:02+00:00,2018-10-26 07:30:02+00:00
request for payment 179592,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 08:21:35+00:00,2018-10-26 07:31:35+00:00
request for payment 179597,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 08:28:22+00:00,2018-10-26 07:32:22+00:00
request for payment 179597,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 08:07:38+00:00,2018-10-26 07:34:38+00:00
request for payment 176991,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-26 08:27:52+00:00,2018-10-26 07:50:52+00:00
request for payment 180433,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 08:51:07+00:00,2018-10-26 08:19:07+00:00
request for payment 180433,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 08:55:31+00:00,2018-10-26 08:19:31+00:00
request for payment 172576,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 10:11:20+00:00,2018-10-26 09:26:20+00:00
request for payment 172576,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 09:57:22+00:00,2018-10-26 09:26:22+00:00
request for payment 182297,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 10:16:39+00:00,2018-10-26 09:33:39+00:00
request for payment 182297,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018-10-26 10:20:47+00:00,2018-10-26 09:33:47+00:00
request for payment 179592,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-26 10:34:40+00:00,2018-10-26 09:36:40+00:00
request for payment 172582,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 10:24:42+00:00,2018-10-26 09:45:42+00:00
request for payment 176997,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 10:35:32+00:00,2018-10-26 09:53:32+00:00
request for payment 176997,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 10:36:04+00:00,2018-10-26 09:54:04+00:00
